Data from laser

[1.4104, 9.4099, -0.7112]
[1.4914, 9.4089, -0.6971]
[1.5724, 9.4072, -0.6831]
[1.6534, 9.4048, -0.6690]
[1.7339, 9.3917, -0.6551]
[1.4391, 1.9376, -0.6967]
[1.8961, 9.3934, -0.6269]
[1.9269, 8.6498, -0.6206]
[1.4863, 1.8944, -0.6884]
[1.5035, 1.9030, -0.6854]
[1.9189, 6.1624, -0.6188]
[1.9669, 6.1073, -0.6104]
[2.0194, 6.1016, -0.6013]
[2.0696, 6.0755, -0.5926]
[2.1244, 6.0887, -0.5831]
[2.1795, 6.1013, -0.5735]
[2.2335, 6.1035, -0.5642]
[1.7034, 2.3315, -0.6513]
[1.7235, 2.3282, -0.6478]
[1.7283, 2.2360, -0.6469]
[1.6335, 1.6031, -0.6625]
[1.6398, 1.5612, -0.6614]
[1.6553, 1.5683, -0.6587]
[1.6688, 1.5654, -0.6563]
[1.6697, 1.5039, -0.6561]
[1.6584, 1.3937, -0.6579]
[1.6773, 1.4200, -0.6547]
[1.7157, 1.5237, -0.6481]
[21.4507, 79.3209, 2.6765]
[22.1320, 79.1399, 2.7950]
[1.7342, 1.4361, -0.6448]
[1.7439, 1.4230, -0.6431]
[24.1661, 78.5609, 3.1487]
[1.7713, 1.4252, -0.6384]
[1.7954, 1.4595, -0.6342]
[1.7959, 1.4174, -0.6341]
[1.8051, 1.4038, -0.6325]
[1.8108, 1.3807, -0.6315]
[1.8391, 1.4237, -0.6266]
[3.2855, 5.4338, -0.3808]
[3.3700, 5.5195, -0.3662]
[2.1716, 2.1946, -0.5699]
[2.1905, 2.1872, -0.5666]
[2.2204, 2.2074, -0.5614]
[2.2469, 2.2180, -0.5569]
[3.5788, 5.3600, -0.3298]
[3.6210, 5.3308, -0.3224]
[2.3201, 2.2297, -0.5442]
[2.3474, 2.2392, -0.5394]
[2.3543, 2.2030, -0.5382]
[2.3690, 2.1849, -0.5356]
[2.1164, 1.6091, -0.5787]
[2.1216, 1.5842, -0.5778]
[2.1397, 1.5862, -0.5747]
[2.1579, 1.5879, -0.5715]
[2.1624, 1.5630, -0.5707]
[2.0680, 1.3534, -0.5868]
[40.3795, 71.6881, 5.9706]
[2.4157, 1.9239, -0.5272]
[2.3979, 1.8536, -0.5302]
[42.2151, 70.6267, 6.2905]
[2.2221, 1.4829, -0.5602]
[2.2349, 1.4750, -0.5580]
