[1.4099, 9.3799, -0.7112]
[1.4915, 9.3589, -0.7117]
[1.5730, 9.3473, -0.7122]
[1.6537, 9.3149, -0.7127]
[1.7346, 9.3018, -0.7132]
[1.4413, 1.9576, -0.7117]
[1.8929, 9.2237, -0.7142]
[1.9324, 8.6199, -0.7144]
[1.4897, 1.9144, -0.7120]
[1.8728, 6.1673, -0.7142]
[1.9229, 6.1226, -0.7145]
[1.9764, 6.1173, -0.7148]
[2.0309, 6.1215, -0.7152]
[2.0796, 6.0755, -0.7155]
[2.1391, 6.1184, -0.7158]
[2.1926, 6.1112, -0.7161]
[2.2460, 6.1035, -0.7165]
[1.7069, 2.3216, -0.7133]
[1.7223, 2.2887, -0.7134]
[1.7407, 2.2755, -0.7135]
[1.6358, 1.5933, -0.7129]
[1.6422, 1.5514, -0.7130]
[1.6578, 1.5585, -0.7131]
[1.6715, 1.5556, -0.7132]
[1.6593, 1.4355, -0.7131]
[1.6652, 1.4034, -0.7131]
[1.6775, 1.4006, -0.7132]
[1.6850, 1.3782, -0.7132]
[1.6996, 1.3848, -0.7133]
[1.7092, 1.3719, -0.7134]
[1.7212, 1.3687, -0.7135]
[1.7387, 1.3845, -0.7136]
[1.7509, 1.3810, -0.7137]
[1.7630, 1.3774, -0.7137]
[1.7751, 1.3736, -0.7138]
[1.7871, 1.3698, -0.7139]
[1.7991, 1.3659, -0.7139]
[1.8176, 1.3807, -0.7141]
[1.8663, 1.4803, -0.7144]
[3.3614, 5.5653, -0.7233]
[3.4239, 5.5850, -0.7237]
[2.1979, 2.2319, -0.7164]
[2.2138, 2.2151, -0.7165]
[3.5809, 5.5564, -0.7247]
[2.1533, 1.9591, -0.7161]
[2.1705, 1.9520, -0.7162]
[3.6384, 5.2939, -0.7251]
[3.7129, 5.3377, -0.7255]
[3.7884, 5.3805, -0.7260]
[4.0840, 5.8940, -0.7278]
[2.2767, 1.9591, -0.7169]
[37.1454, 73.6600, -0.9276]
[2.0885, 1.4947, -0.7157]
[2.1061, 1.4970, -0.7158]
[2.1561, 1.5613, -0.7161]
[2.1698, 1.5541, -0.7162]
[2.1596, 1.5029, -0.7162]
[2.2018, 1.5482, -0.7164]
[2.2153, 1.5406, -0.7165]
[2.2338, 1.5416, -0.7166]
[2.2524, 1.5423, -0.7167]
[2.2710, 1.5429, -0.7168]
[2.2845, 1.5347, -0.7169]
[2.3033, 1.5349, -0.7170]
[2.3221, 1.5349, -0.7172]
[2.3409, 1.5347, -0.7173]
[2.3654, 1.5426, -0.7174]
[2.6691, 1.9651, -0.7193]
[2.5958, 1.8215, -0.7188]
[2.8236, 2.1138, -0.7202]
[2.8536, 2.1171, -0.7204]
[2.9015, 2.1443, -0.7207]
[2.9261, 2.1386, -0.7208]
[2.9568, 2.1407, -0.7210]
[2.9695, 2.1186, -0.7211]
[51.6795, 64.6058, -1.0172]
[2.8634, 1.9097, -0.7205]
[2.8739, 1.8885, -0.7205]
[2.8650, 1.8442, -0.7205]
[2.8682, 1.8155, -0.7205]
[2.8647, 1.7792, -0.7205]
[2.8737, 1.7583, -0.7205]
[2.8626, 1.7149, -0.7205]
[2.8241, 1.6420, -0.7202]
[2.7710, 1.5552, -0.7199]
