[1.3957, 9.4321, -0.7112]
[1.4752, 9.4313, -0.6896]
[1.5544, 9.4197, -0.6680]
[1.6338, 9.4175, -0.6465]
[1.7132, 9.4145, -0.6249]
[1.4315, 1.8799, -0.6896]
[1.4502, 1.9290, -0.6846]
[1.9161, 8.8625, -0.5689]
[1.9696, 8.5678, -0.5539]
[1.4934, 1.8556, -0.6727]
[1.9009, 6.1954, -0.5688]
[1.9561, 6.2200, -0.5538]
[2.0149, 6.2738, -0.5379]
[2.1080, 6.6150, -0.5132]
[2.0996, 6.0921, -0.5146]
[2.2431, 6.7785, -0.4767]
[2.3058, 6.8097, -0.4597]
[1.6926, 2.3342, -0.6193]
[1.7123, 2.3309, -0.6140]
[1.7221, 2.2684, -0.6112]
[1.7187, 2.1370, -0.6119]
[1.6369, 1.5932, -0.6333]
[1.6466, 1.5709, -0.6306]
[1.6579, 1.5583, -0.6275]
[1.6711, 1.5554, -0.6240]
[1.6606, 1.4451, -0.6266]
[1.6550, 1.3643, -0.6280]
[1.6619, 1.3420, -0.6261]
[1.6757, 1.3487, -0.6224]
[1.6871, 1.3457, -0.6193]
[1.7010, 1.3521, -0.6155]
[1.7230, 1.3873, -0.6096]
[1.7347, 1.3838, -0.6064]
[1.7325, 1.3323, -0.6069]
[1.7581, 1.3765, -0.6000]
[1.7934, 1.4488, -0.5905]
[1.8178, 1.4827, -0.5840]
[1.7960, 1.3742, -0.5897]
[1.7949, 1.3323, -0.5899]
[1.8094, 1.3375, -0.5860]
[1.8341, 1.3707, -0.5793]
[1.9384, 1.6186, -0.5514]
[1.9591, 1.6318, -0.5458]
[1.9981, 1.6911, -0.5353]
[2.0197, 1.7036, -0.5294]
[2.0341, 1.6974, -0.5255]
[2.0484, 1.6911, -0.5216]
[2.0666, 1.6938, -0.5167]
[2.0848, 1.6963, -0.5117]
[2.0992, 1.6895, -0.5078]
[2.1175, 1.6916, -0.5028]
[2.1360, 1.6935, -0.4978]
[2.1503, 1.6863, -0.4939]
[2.1646, 1.6789, -0.4900]
[2.1787, 1.6714, -0.4862]
[2.2018, 1.6815, -0.4799]
[2.2160, 1.6736, -0.4760]
[2.2581, 1.7182, -0.4647]
[2.3057, 1.7709, -0.4518]
[2.2534, 1.6406, -0.4658]
[2.2721, 1.6410, -0.4607]
[2.3008, 1.6583, -0.4530]
[42.4571, 69.9657, 10.3532]
[43.0446, 69.5915, 10.5135]
[43.6290, 69.2120, 10.6729]
[44.2101, 68.8272, 10.8315]
[2.2480, 1.4211, -0.4669]
[2.2600, 1.4129, -0.4637]
[2.2828, 1.4210, -0.4575]
[2.3003, 1.4207, -0.4527]
[2.3179, 1.4201, -0.4479]
[2.3299, 1.4112, -0.4447]
[2.3475, 1.4103, -0.4399]
[2.3652, 1.4091, -0.4351]
[2.3829, 1.4078, -0.4302]
[2.4007, 1.4062, -0.4254]
[2.4186, 1.4044, -0.4206]
[2.4365, 1.4024, -0.4157]
[2.4544, 1.4002, -0.4108]
[2.4724, 1.3978, -0.4059]
[2.4967, 1.4027, -0.3993]
[2.5148, 1.3998, -0.3944]
[2.5330, 1.3967, -0.3894]
[2.5641, 1.4082, -0.3810]
[2.6085, 1.4340, -0.3690]
[55.0904, 60.0722, 13.8024]
[2.6127, 1.3891, -0.3678]
[2.6378, 1.3920, -0.3610]
[56.5891, 58.5942, 14.2120]
[57.0803, 58.0926, 14.3463]
[57.5672, 57.5865, 14.4794]
[58.0499, 57.0761, 14.6114]
[58.5282, 56.5613, 14.7422]
[59.0022, 56.0422, 14.8719]
[2.8171, 1.4023, -0.3122]
[2.8146, 1.3754, -0.3129]
[2.8334, 1.3687, -0.3077]
[2.8522, 1.3617, -0.3026]
[61.3056, 53.3835, 15.5021]
[2.9636, 1.4116, -0.2724]
[2.9309, 1.3586, -0.2812]
[6.7586, 4.5661, 0.7540]
[6.7366, 4.4670, 0.7482]
[6.7740, 4.4180, 0.7584]
[3.3350, 1.5876, -0.1718]
[3.3099, 1.5393, -0.1785]
[3.2686, 1.4796, -0.1896]
[6.7717, 4.1067, 0.7583]
[6.7590, 4.0225, 0.7550]
[6.7612, 3.9503, 0.7557]
[6.7149, 3.8443, 0.7433]
[6.7312, 3.7843, 0.7478]
[6.7548, 3.7299, 0.7543]
[6.6972, 3.6206, 0.7388]
[6.5813, 3.4748, 0.7075]
[6.3653, 3.2676, 0.6492]
[6.4009, 3.2273, 0.6589]
[6.4032, 3.1659, 0.6596]
[6.3799, 3.0894, 0.6534]
[6.3891, 3.0336, 0.6560]
