[1.4019, 9.4011, -0.7112]
[1.4827, 9.4102, -0.6955]
[1.5634, 9.4086, -0.6799]
[1.6440, 9.4063, -0.6642]
[1.7251, 9.4133, -0.6485]
[1.4376, 1.9489, -0.6949]
[1.8853, 9.3851, -0.6173]
[1.9193, 8.6815, -0.6099]
[1.4849, 1.9057, -0.6857]
[1.5012, 1.9044, -0.6825]
[1.9068, 6.1144, -0.6091]
[1.9593, 6.1091, -0.5989]
[2.0117, 6.1034, -0.5887]
[2.0628, 6.0873, -0.5787]
[2.1137, 6.0707, -0.5688]
[2.2183, 6.4500, -0.5490]
[2.2793, 6.4815, -0.5372]
[1.7000, 2.3330, -0.6444]
[1.7201, 2.3297, -0.6405]
[1.7300, 2.2672, -0.6385]
[1.6292, 1.5947, -0.6573]
[1.6374, 1.5626, -0.6556]
[1.6508, 1.5599, -0.6530]
[1.6643, 1.5571, -0.6504]
[1.6714, 1.5249, -0.6490]
[1.6604, 1.4147, -0.6510]
[1.6703, 1.4020, -0.6490]
[1.6871, 1.4185, -0.6458]
[1.6944, 1.3960, -0.6443]
[1.7065, 1.3928, -0.6420]
[1.7211, 1.3991, -0.6392]
[1.7331, 1.3957, -0.6368]
[1.7451, 1.3922, -0.6345]
[1.7542, 1.3790, -0.6327]
[1.7632, 1.3657, -0.6310]
[1.7780, 1.3714, -0.6281]
[1.7929, 1.3770, -0.6252]
[1.7984, 1.3540, -0.6241]
[1.8068, 1.3404, -0.6225]
[1.8216, 1.3456, -0.6196]
[2.1511, 2.2132, -0.5567]
[2.1666, 2.1966, -0.5537]
[2.1855, 2.1891, -0.5500]
[2.2043, 2.1816, -0.5464]
[2.2193, 2.1646, -0.5434]
[2.1272, 1.8895, -0.5610]
[2.1200, 1.8273, -0.5623]
[2.1357, 1.8203, -0.5592]
[2.1189, 1.7403, -0.5624]
[1.9770, 1.3886, -0.5895]
[1.9973, 1.4009, -0.5856]
[2.0008, 1.3770, -0.5849]
[2.0126, 1.3711, -0.5825]
[2.0156, 1.3473, -0.5819]
[2.0362, 1.3590, -0.5780]
[2.0525, 1.3616, -0.5748]
[2.1108, 1.4432, -0.5636]
[2.1232, 1.4363, -0.5612]
[2.1452, 1.4467, -0.5569]
[2.2506, 1.6043, -0.5367]
[2.1750, 1.4409, -0.5511]
[2.1773, 1.4162, -0.5506]
[2.1946, 1.4173, -0.5473]
[2.2275, 1.4436, -0.5409]
[2.2241, 1.4103, -0.5415]
[2.2522, 1.4276, -0.5361]
[2.2645, 1.4195, -0.5337]
[2.2822, 1.4195, -0.5303]
[2.2999, 1.4194, -0.5268]
[2.3177, 1.4190, -0.5234]
[2.3299, 1.4103, -0.5210]
[2.3478, 1.4095, -0.5175]
[2.3657, 1.4086, -0.5141]
[2.3837, 1.4074, -0.5106]
[2.4077, 1.4140, -0.5059]
[2.4199, 1.4045, -0.5035]
[2.4380, 1.4027, -0.5000]
[2.4501, 1.3929, -0.4977]
[2.4745, 1.3984, -0.4929]
[2.4928, 1.3960, -0.4894]
[2.5111, 1.3933, -0.4858]
[2.5295, 1.3904, -0.4822]
[2.5609, 1.4023, -0.4761]
[55.0178, 60.9918, 9.6322]
[2.5981, 1.3952, -0.4689]
[2.6168, 1.3913, -0.4653]
[2.6287, 1.3799, -0.4630]
[2.6542, 1.3828, -0.4580]
[2.6729, 1.3782, -0.4544]
[2.6986, 1.3805, -0.4494]
[2.7174, 1.3754, -0.4457]
[2.7433, 1.3771, -0.4407]
[2.7765, 1.3853, -0.4343]
[60.0315, 55.9954, 10.6118]
[60.5089, 55.4717, 10.7051]
[60.9818, 54.9437, 10.7976]
[61.4502, 54.4115, 10.8892]
[61.9140, 53.8752, 10.9799]
[62.3732, 53.3348, 11.0697]
[62.8277, 52.7904, 11.1586]
[2.9894, 1.3819, -0.3929]
[3.6334, 1.8911, -0.2686]
[3.6342, 1.8582, -0.2684]
[3.1481, 1.4363, -0.3622]
[3.2848, 1.5179, -0.3358]
[3.3683, 1.5549, -0.3196]
[3.3264, 1.4951, -0.3277]
[3.3075, 1.4538, -0.3313]
[3.2880, 1.4129, -0.3350]
[3.3001, 1.3956, -0.3326]
[3.3121, 1.3781, -0.3303]
[3.3158, 1.3549, -0.3296]
[3.3437, 1.3484, -0.3241]
[3.4621, 1.4016, -0.3012]
[3.4824, 1.3881, -0.2972]
[3.5026, 1.3743, -0.2933]
[3.5060, 1.3498, -0.2926]
[6.3917, 3.0989, 0.2654]
[6.3927, 3.0386, 0.2657]
[6.3847, 2.9735, 0.2642]
[6.3844, 2.9137, 0.2642]
[6.3664, 2.8444, 0.2608]
[6.3648, 2.7853, 0.2605]
[6.3712, 2.7311, 0.2619]
[6.3684, 2.6723, 0.2614]
[6.3562, 2.6093, 0.2591]
[6.3521, 2.5512, 0.2584]
[6.3474, 2.4933, 0.2575]
[6.3420, 2.4358, 0.2566]
[6.3450, 2.3827, 0.2572]
[6.3385, 2.3256, 0.2560]
[6.3314, 2.2689, 0.2547]
[6.3417, 2.2204, 0.2568]
[6.3245, 2.1602, 0.2535]
[6.3248, 2.1081, 0.2536]
[6.3245, 2.0562, 0.2536]
[6.3238, 2.0044, 0.2536]
[6.3225, 1.9528, 0.2534]
[6.3207, 1.9014, 0.2531]
[6.3185, 1.8502, 0.2527]
[6.3064, 1.7958, 0.2505]
[6.3124, 1.7483, 0.2517]
[6.2994, 1.6945, 0.2492]
[6.3044, 1.6473, 0.2503]
[6.2997, 1.5970, 0.2494]
[6.3039, 1.5499, 0.2503]
[6.2982, 1.5000, 0.2492]
[6.2921, 1.4503, 0.2481]
[6.2760, 1.3982, 0.2451]
[6.2879, 1.3543, 0.2474]
[6.2708, 1.3027, 0.2442]
[6.2724, 1.2564, 0.2445]
[6.2639, 1.2078, 0.2429]
[6.2646, 1.1617, 0.2431]
[6.2648, 1.1157, 0.2432]
[6.2647, 1.0698, 0.2433]
[6.2641, 1.0239, 0.2432]
[6.2631, 0.9782, 0.2431]
[6.2521, 0.9307, 0.2410]
[6.2503, 0.8853, 0.2407]
[6.2287, 0.8366, 0.2366]
[6.2357, 0.7931, 0.2380]
[6.2230, 0.7466, 0.2356]
[6.2195, 0.7017, 0.2350]
[6.2060, 0.6557, 0.2324]
[6.2115, 0.6124, 0.2335]
[6.2166, 0.5691, 0.2346]
[6.2116, 0.5247, 0.2336]
[6.2062, 0.4804, 0.2327]
[6.2102, 0.4371, 0.2335]
[6.1942, 0.3922, 0.2304]
[6.2073, 0.3497, 0.2330]
[6.2003, 0.3058, 0.2317]
[6.2028, 0.2626, 0.2323]
[6.1952, 0.2189, 0.2308]
[6.1969, 0.1758, 0.2312]
[6.1885, 0.1323, 0.2297]
[6.1895, 0.0892, 0.2299]
[6.1705, 0.0459, 0.2263]
[6.1806, 0.0030, 0.2283]
[6.1805, -0.0400, 0.2283]
[6.1801, -0.0831, 0.2283]
[6.2283, -0.1273, 0.2377]
[6.4233, -0.1772, 0.2756]
[6.5001, -0.2257, 0.2906]
[6.5373, -0.2735, 0.2979]
[6.5642, -0.3215, 0.3032]
[6.5613, -0.3679, 0.3027]
[6.5580, -0.4143, 0.3021]
[6.5446, -0.4598, 0.2995]
[6.5405, -0.5061, 0.2988]
[6.5360, -0.5523, 0.2980]
[6.5312, -0.5984, 0.2971]
[6.5259, -0.6445, 0.2961]
[6.5202, -0.6906, 0.2951]
[6.5239, -0.7380, 0.2959]
[6.5175, -0.7840, 0.2947]
[6.5106, -0.8300, 0.2934]
[6.5034, -0.8759, 0.2921]
[6.5054, -0.9235, 0.2925]
[6.4974, -0.9694, 0.2910]
[6.4986, -1.0171, 0.2913]
[6.4993, -1.0649, 0.2915]
[6.4997, -1.1127, 0.2916]
[6.4996, -1.1607, 0.2917]
[6.4895, -1.2065, 0.2898]
[6.4791, -1.2522, 0.2878]
[6.4968, -1.3051, 0.2913]
[6.4855, -1.3508, 0.2892]
[6.4833, -1.3991, 0.2888]
[6.4427, -1.4368, 0.2810]
[6.4209, -1.4794, 0.2768]
[6.4081, -1.5245, 0.2744]
[6.2915, -1.5376, 0.2518]
[6.1846, -1.5517, 0.2310]
[6.1618, -1.5916, 0.2266]
[6.1574, -1.6375, 0.2258]
[6.1618, -1.6868, 0.2268]
[6.1565, -1.7329, 0.2258]
[6.1508, -1.7790, 0.2247]
[6.1446, -1.8252, 0.2236]
[6.1472, -1.8749, 0.2242]
[6.1402, -1.9213, 0.2229]
[6.1327, -1.9676, 0.2215]
[6.1339, -2.0177, 0.2218]
[6.1346, -2.0680, 0.2220]
[6.1257, -2.1145, 0.2203]
[6.1255, -2.1651, 0.2203]
[6.1247, -2.2158, 0.2202]
[6.1234, -2.2666, 0.2200]
